Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20245088,16,8,6,0,4,1,3,2,10,2024,Monday,Unknown,1
20243239,18,1,4,5,3,1,1,2,10,2024,Monday,Maranoa,1
20243170,18,6,4,3,5,1,1,2,10,2024,Monday,Brisbane,1
20242040,2,1,3,2,3,1,3,2,10,2024,Saturday,Southern Grampians,1
20243084,4,2,4,3,5,2,1,2,10,2024,Saturday,Moreton Bay,1
20241030,5,2,1,1,1,1,1,2,10,2024,Saturday,Cessnock,1
20245016,5,6,6,0,4,1,1,2,10,2024,Saturday,Unknown,3
20243127,8,2,4,1,3,2,5,2,10,2024,Saturday,Scenic Rim,1
20243003,12,1,4,1,2,2,1,2,10,2024,Saturday,Somerset,1
20243266,13,6,4,5,8,1,1,2,10,2024,Saturday,Hinchinbrook,1
20241042,13,2,1,3,3,1,1,2,10,2024,Saturday,Blue Mountains,1
20243121,14,1,4,1,5,1,1,2,10,2024,Saturday,Scenic Rim,1
20245124,16,3,6,0,4,1,1,2,10,2024,Saturday,Unknown,1
20245043,16,1,6,0,4,1,1,2,10,2024,Saturday,Unknown,2
20245044,19,8,6,0,4,1,1,2,10,2024,Saturday,Unknown,1
20241175,20,3,1,3,6,2,1,2,10,2024,Saturday,Wollongong,1
20245061,0,1,6,0,4,1,1,2,10,2024,Sunday,Unknown,1
20243072,1,2,4,1,6,1,1,2,10,2024,Sunday,Mackay,1
20242232,1,4,3,3,8,1,1,2,10,2024,Sunday,Stonnington,1
20244057,3,5,5,3,3,1,1,2,10,2024,Sunday,Playford,1
20242173,7,4,3,0,4,1,1,2,10,2024,Sunday,Unknown,1
20241091,8,8,1,4,3,1,1,2,10,2024,Sunday,Cobar,1
20243201,9,1,4,2,2,2,1,2,10,2024,Sunday,South Burnett,1
20242135,9,1,3,2,3,2,1,2,10,2024,Sunday,Ararat,1
20243225,10,2,4,1,5,1,1,2,10,2024,Sunday,Somerset,1
20245116,11,6,6,0,4,1,1,2,10,2024,Sunday,Unknown,1
20241167,12,3,1,3,6,2,1,2,10,2024,Sunday,Campbelltown,1
20244060,13,1,5,1,5,1,1,2,10,2024,Sunday,Adelaide Hills,1
20241268,13,1,1,2,3,2,1,2,10,2024,Sunday,Bega Valley,1
20244013,13,6,5,3,5,2,1,2,10,2024,Sunday,Tea Tree Gully,1
20245002,13,3,6,0,4,1,1,2,10,2024,Sunday,Unknown,1
20243235,14,5,4,3,2,2,1,2,10,2024,Sunday,Moreton Bay,2
20244059,14,8,5,2,3,2,1,2,10,2024,Sunday,Wattle Range,2
20245015,14,7,6,0,4,1,1,2,10,2024,Sunday,Unknown,1
20241266,15,2,1,1,1,1,1,2,10,2024,Sunday,Kiama,1
20243131,16,6,4,3,5,1,1,2,10,2024,Sunday,Moreton Bay,1
20245111,16,3,6,0,4,1,1,2,10,2024,Sunday,Unknown,1
20242080,16,1,3,2,2,1,1,2,10,2024,Sunday,Moyne,1
20245160,3,8,6,0,4,1,5,2,10,2024,Thursday,Unknown,1
20241287,4,1,1,1,1,2,1,2,10,2024,Thursday,Wollondilly,1
20241152,5,1,1,1,3,1,1,2,10,2024,Thursday,Mid-Coast,1
20243161,8,1,4,1,5,2,1,2,10,2024,Thursday,Scenic Rim,1
