fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
28842,20032106,Pedestrian,Female,39,26_to_39
28843,20032122,Passenger,Male,20,17_to_25
28844,20031134,Pedestrian,Male,73,65_to_74
28845,20032195,Passenger,Female,25,17_to_25
28846,20037018,Driver,Male,42,40_to_64
28847,20033282,Pedestrian,Male,17,17_to_25
28848,20034092,Driver,Male,53,40_to_64
28849,20032137,Driver,Male,53,40_to_64
28850,20031479,Passenger,Female,29,26_to_39
28851,20032056,Pedestrian,Male,46,40_to_64
28852,20035096,Driver,Male,17,17_to_25
28853,20033158,Driver,Male,24,17_to_25
28854,20031377,Driver,Male,42,40_to_64
28855,20035072,Driver,Female,16,0_to_16
28856,20032136,Passenger,Male,29,26_to_39
28857,20034061,Driver,Male,32,26_to_39
28858,20032252,Motorcycle rider,Female,51,40_to_64
28859,20035065,Driver,Male,20,17_to_25
28860,20032007,Driver,Male,42,40_to_64
28861,20031145,Passenger,Female,93,75_or_older
28862,20036039,Driver,Male,27,26_to_39
28863,20031243,Driver,Male,95,75_or_older
28864,20033189,Driver,Male,43,40_to_64
28865,20032093,Passenger,Female,4,0_to_16
28866,20031188,Driver,Female,64,40_to_64
28867,20031463,Passenger,Female,78,75_or_older
28868,20031391,Driver,Male,31,26_to_39
28869,20036021,Passenger,Male,75,75_or_older
28870,20031373,Motorcycle rider,Male,26,26_to_39
28871,20031219,Driver,Male,88,75_or_older
28872,20033224,Driver,Male,23,17_to_25
28873,20034111,Passenger,Female,15,0_to_16
28874,20031312,Driver,Female,55,40_to_64
28875,20034122,Passenger,Female,53,40_to_64
28876,20034122,Driver,Male,54,40_to_64
28877,20031335,Pedestrian,Male,55,40_to_64
28878,20031362,Passenger,Female,67,65_to_74
28879,20031049,Driver,Male,22,17_to_25
28880,20031093,Passenger,Female,15,0_to_16
28881,20035015,Pedestrian,Male,23,17_to_25
28882,20035085,Passenger,Female,75,75_or_older
28883,20033090,Passenger,Male,18,17_to_25
28884,20032270,Driver,Male,20,17_to_25
28885,20033090,Driver,Male,18,17_to_25
28886,20035093,Motorcycle rider,Male,24,17_to_25
28887,20033067,Driver,Male,27,26_to_39
28888,20031254,Driver,Female,19,17_to_25
28889,20031254,Driver,Male,26,26_to_39
28890,20032227,Driver,Male,18,17_to_25
28891,20032200,Driver,Male,27,26_to_39
28892,20031009,Pedestrian,Male,33,26_to_39
